"dateRep","United_States_of_America","France","Germany","Italy","United_Kingdom","Sweden","Israel","Netherlands","Spain","Belgium"
"2021-02-24",8.9,7.2,6.6,7.2,10.2,4.6,4.7,4.8,10.2,4.1
"2021-02-25",8.7,7,6.1,7,9.7,4.2,4.7,4.5,9.8,3.9
"2021-02-26",8.5,6.9,6.2,6.9,9,3.9,4.5,4.5,9.4,3.8
"2021-02-27",8.2,6.8,6.1,6.9,8.6,3.9,4.4,4.4,9.4,3.6
"2021-02-28",8.2,6.8,6,6.8,8.4,3.9,4.2,4.4,9.4,3.6
"2021-03-01",8.4,6.7,6.2,6.8,8.2,3.9,4,4.4,8.9,3.5
"2021-03-02",8.5,6.5,6.1,6.8,7.5,3.9,4,4.2,8.2,3.4
"2021-03-03",8.5,6.5,5.4,6.8,7.2,3.9,3.8,4,8.4,3.2
"2021-03-04",8.3,6.5,5.1,6.8,6.8,3.8,3.6,3.8,8.1,3.2
"2021-03-05",8,6.3,4.9,6.7,6.4,3.5,3.6,3.7,8.6,3.1
"2021-03-06",8,6.3,4.9,6.8,6,3.5,3.8,3.5,8.6,3
"2021-03-07",7.8,6.3,4.8,6.7,5.8,3.5,3.6,3.6,8.6,3.1
"2021-03-08",7.6,6.3,4.6,6.8,5.6,3.5,3.7,3.6,8.1,3.2
"2021-03-09",7.5,6.3,4.5,6.8,5.1,3.3,3.5,3.4,7.8,3.2
"2021-03-10",7,6.2,4.4,6.9,4.8,2.9,3.4,3.2,7.5,3.1
"2021-03-11",6.7,6.2,4.5,7,4.6,3.1,3.2,3.3,7,3.1
"2021-03-12",6.6,5.8,4.1,7.2,4.3,3.2,3.3,3.1,6.7,3.1
"2021-03-13",6.4,5.7,3.9,7.2,4.1,3.2,3,3,6.7,3.2
"2021-03-14",6.3,5.9,4,7.4,3.9,3.2,3,3,6.7,3.1
"2021-03-15",6,5.8,3.8,7.5,3.9,3.2,3.1,3,6,3.8
"2021-03-16",5.8,5.8,3.6,7.8,3.5,2.9,3,2.8,5.9,3.7
"2021-03-17",5.4,5.5,3.3,7.9,3,2.6,2.9,2.8,5.4,3.7
"2021-03-18",5.3,5.6,3.4,8.1,2.8,2.6,2.9,2.8,5.2,3.7
"2021-03-19",5.1,5.4,3.3,8.2,2.6,2.6,2.8,2.9,3.8,3.8
"2021-03-20",4.9,5.4,3.3,8.4,2.5,2.6,2.6,2.7,3.8,3.5
"2021-03-21",4.8,5.4,3.3,8.5,2.4,2.6,2.3,2.6,3.8,3.8
"2021-03-22",4.8,5.4,3.3,8.6,2.4,2.6,2.2,2.5,4.5,3.8
"2021-03-23",4.5,5.3,3.2,8.9,2.2,2.7,2.2,2.5,4.3,3.8
"2021-03-24",4.5,5.3,3.1,9.1,2.1,2.7,2.4,2.5,3.8,3.8
"2021-03-25",4.5,5.2,3,9.3,1.9,2.6,2.3,2.4,5,3.8
"2021-03-26",4.3,6.2,3,9.4,1.7,2.5,2.1,2.4,5.9,3.9
"2021-03-27",4.3,6.2,3,9.5,1.6,2.5,2,2.4,5.9,3.9
"2021-03-28",4.3,6.1,3,9.6,1.6,2.5,2,2.4,5.9,3.9
"2021-03-29",4.2,6.1,2.9,9.7,1.5,2.5,1.9,2.3,5.9,3.2
"2021-03-30",4.2,6.1,2.9,9.7,1.5,2.6,1.7,2.4,5.9,3.4
"2021-03-31",4.1,6.4,3,9.8,1.3,2.3,1.8,2.3,5.7,3.6
"2021-04-01",3.9,6.3,2.9,9.9,1.2,2.6,1.7,2.2,5.6,3.6
"2021-04-02",3.9,6.3,2.8,10.1,1.2,2.3,1.7,2.1,5.6,3.7
"2021-04-03",3.9,6.1,2.7,10,1,2.3,1.8,2.2,6,4.1
"2021-04-04",3.8,6.4,2.7,10.1,1,2.3,1.7,2.2,6,4
"2021-04-05",3.8,6.2,2.5,9.9,1,2.3,1.6,2.2,4.8,4.1
"2021-04-06",3.8,6.4,2.4,9.7,0.9,2.2,1.6,2,4.6,4.2
"2021-04-07",4.1,6.1,2.7,10,0.8,2.2,1.3,2,4.9,4.4
"2021-04-08",4,6.8,2.8,10,0.8,2.2,1.3,2,3.8,4.6
"2021-04-09",3.9,5.5,2.9,10.5,0.8,2.2,1.3,2.1,2.8,4.6
"2021-04-10",3.9,5.3,3,10.4,0.8,2.2,1.5,2,2.8,4.8
"2021-04-11",3.8,6.1,3,10.5,0.7,2.2,1.3,2.1,2.8,5
"2021-04-12",3.7,6.1,3.2,10.4,0.7,2.2,1.2,2.1,2.8,5
"2021-04-13",3.7,6.1,3.3,10.3,0.7,2.3,1.3,2.1,2.8,5.2
"2021-04-14",3.7,6.1,3.4,10.3,0.7,2.5,1.2,2.1,2.8,5.1
"2021-04-15",3.6,6.1,3.4,10.1,0.6,2.6,1.1,2,2.9,5.1
"2021-04-16",3.6,6.1,3.5,10,0.6,2.9,1.1,2,3.1,5.2
"2021-04-17",3.6,6.3,3.5,9.9,0.6,2.9,1.1,2,2.7,5.1
"2021-04-18",3.6,6,3.6,9.8,0.6,2.9,1.1,2,2.7,5
"2021-04-19",3.6,6.4,3.8,9.8,0.6,2.9,1.1,2,2.8,5
"2021-04-20",3.5,6.3,4.1,9.7,0.6,2.9,1,2.1,2.5,5.1
"2021-04-21",3,6.8,3.8,9.3,0.6,2.8,0.9,2.1,2.8,4.9
"2021-04-22",3,6.1,3.8,9.1,0.5,2.8,0.8,2.1,2.8,4.8
"2021-04-23",3,6.5,3.8,8.5,0.5,3,0.8,1.9,2.7,4.9
"2021-04-24",3,6.8,3.8,8.4,0.5,3,0.7,1.9,2.7,4.8
